Company Name,Industry,Symbol,Index Name
360 ONE WAM Ltd.,Financial Services,360ONE,Nifty Financial Services ex bank
ABB India Ltd.,Capital Goods,ABB,Nifty Next 50
ACC Ltd.,Construction Materials,ACC,Nifty Cement
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,Nifty Midcap 50
AU Small Finance Bank Ltd.,Financial Services,AUBANK,Nifty Midcap 50
AXISCADES Technologies Ltd.,Capital Goods,AXISCADES,Nifty India Defence
Aarti Industries Ltd.,Chemicals,AARTIIND,Nifty Chemicals
Abbott India Ltd.,Healthcare,ABBOTINDIA,Nifty Healthcare
Adani Energy Solutions Ltd.,Power,ADANIENSOL,Nifty Next 50
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,Nifty 50
Adani Green Energy Ltd.,Power,ADANIGREEN,Nifty Next 50
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,Nifty 50
Adani Power Ltd.,Power,ADANIPOWER,Nifty Next 50
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,Nifty Oil&Gas
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,Nifty Financial Services ex bank
Aditya Birla Real Estate Ltd.,Realty,ABREL,Nifty Realty
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,Nifty Capital Markets
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,Nifty Smallcap 50
Aequs Ltd.,Capital Goods,AEQUS,Nifty India Defence
Affle 3i Ltd.,Information Technology,AFFLE,Nifty Smallcap 50
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,Nifty Pharma
Alkem Laboratories Ltd.,Healthcare,ALKEM,Nifty Midcap 50
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,Nifty Smallcap 50
Amber Enterprises India Ltd.,Consumer Durables,AMBER,Nifty Smallcap 50
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,Nifty Next 50
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,Nifty Smallcap 50
Anant Raj Ltd.,Realty,ANANTRAJ,Nifty Realty
Angel One Ltd.,Financial Services,ANGELONE,Nifty Smallcap 50
Apar Industries Ltd.,Capital Goods,APARINDS,Nifty Alpha
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,Nifty 50
Apollo Micro Systems Ltd.,Capital Goods,APOLLO,Nifty India Defence
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,Nifty Midcap 50
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,Nifty 50
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,Nifty Smallcap 50
Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,Nifty India Defence
Atul Ltd.,Chemicals,ATUL,Nifty Chemicals
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,Nifty Midcap 50
Avenue Supermarts Ltd.,Consumer Services,DMART,Nifty Next 50
Axis Bank Ltd.,Financial Services,AXISBANK,Nifty 50
BEML Ltd.,Capital Goods,BEML,Nifty India Defence
BLS International Services Ltd.,Consumer Services,BLS,Nifty India Tourism
BSE Ltd.,Financial Services,BSE,Nifty Midcap 50
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,Nifty 50
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,Nifty 50
